# relative_pr_ann: ratio of change in annual mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_djf: ratio of change in DJF mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# relative_pr_jja: ratio of change in JJA mean precipitation as (Plio_Prisitne - PI)/(Plio_Pristine - Plio_Polluted)
# aerosol_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# aerosol_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - Plio_Polluted)
# bc_pr_ann: change in annual mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_djf: change in DJF mean precipitation in mm/day as (Plio_Pristine - PI)
# bc_pr_jja: change in JJA mean precipitation in mm/day as (Plio_Pristine - PI)


lat,relative_pr_ann,relative_pr_djf,relative_pr_jja,aerosol_pr_ann,aerosol_pr_djf,aerosol_pr_jja,bc_pr_ann,bc_pr_djf,bc_pr_jja
21.20419,-0.4686308,0.51547027,5.8739133,0.067779034,0.027112704,-0.023741892,0.010230252,-0.004958665,-0.029210541
22.146597,-8.12895,0.68454766,0.48936027,0.055906933,0.018970959,-0.030180275,0.014698426,-0.015527772,-0.005881641
23.089005,-0.3769371,0.05936208,1.2904413,0.055251118,0.012498298,-0.0101685,0.012988407,-0.02748446,0.013342414
24.031414,2.6826487,0.5433825,-0.19896215,0.05942662,0.005776394,0.016524047,0.017776217,-0.028274175,0.022043295
24.973822,-0.70089316,0.84223944,-1.200571,0.06632104,-0.002710015,0.060927644,0.0504906,-0.026406277,0.07992392
25.916231,1.451274,-0.008082654,-0.46329552,0.0819461,-0.015410718,0.14987049,0.12374135,-0.026876569,0.25249773
26.858639,-2.7146366,3.6431131,-0.5007312,0.111801945,-0.02140244,0.25023562,-0.03912702,-0.021550149,-0.10668637
27.801046,-0.26024294,0.43098506,-0.35937127,0.110799074,-0.024647858,0.23773225,-0.065244764,-0.015175755,-0.16493562
28.743456,-6.689147,0.935542,-0.56347734,0.120131336,-0.014697045,0.24540287,-0.021948325,0.005402244,-0.0318764
29.685863,0.11231836,-1.0185496,0.9876239,0.09298629,-0.002634582,0.1781872,0.015778031,-0.014650408,0.042136084
30.628273,-0.32205746,0.047240786,-0.06931554,0.083265685,0.008335107,0.14908916,0.044734877,-0.00787482,0.079893574
31.57068,0.71650314,-0.14974897,-6.8357577,0.08147588,0.009186447,0.15685278,0.07696772,0.000529634,0.1412772
32.51309,-0.24219958,0.8042295,-0.28329644,0.08706015,3.95E-05,0.1732883,0.055942867,-0.008286741,0.104688555
33.455498,0.06429932,0.42961466,4.2106915,0.0944558,-0.008829634,0.20082895,0.045471396,-0.013415535,0.08944329
34.397907,0.38369584,-0.35304853,6.834395,0.09730376,-0.011179765,0.19502753,0.06259995,-0.005237745,0.12016104
35.340313,0.2767031,1.9597639,-1.3331413,0.10750982,-0.0037534,0.20777142,0.036127564,-0.003414131,0.08718945
36.282722,-0.251322,-1.882337,-5.9432263,0.10877338,0.012356513,0.2135161,0.055420022,0.0463165,0.10786933
37.225132,0.1646155,1.3262081,-0.17595254,0.10321645,0.034294855,0.20317839,0.10846134,0.07630482,0.18741001
38.167538,-1.1807573,-2.0681283,-1.4300188,0.09838866,0.050710443,0.18434998,0.13047351,0.09291743,0.22766876
39.109947,0.635484,-3.0078864,118.24236,0.1029227,0.07084176,0.16579781,0.13128544,0.13720149,0.2119175
40.052357,2.9596722,-5.988894,0.26543134,0.11643696,0.09223469,0.16832826,0.117196836,0.1539078,0.1741617
40.994766,8.932602,-0.4179412,1.7071012,0.13254564,0.10775275,0.1842585,0.13136858,0.16881937,0.18018095
41.937172,0.13049091,-1.2050838,-0.86396194,0.14487164,0.11810602,0.19050166,0.13371381,0.17342472,0.14505666
42.87958,-0.5323427,0.79442996,0.34486854,0.1406076,0.12854876,0.17808683,0.114623174,0.1702502,0.0881601
43.82199,0.6632027,0.75319725,-1.0603472,0.13678354,0.14209758,0.17325428,0.14578477,0.22481172,0.084265046
44.764397,2.3023787,0.9457902,1.2380878,0.12657183,0.14859875,0.14857315,0.13013437,0.21973428,0.05791763
45.706806,0.2381689,0.86680627,0.5288726,0.12017029,0.14668876,0.13162711,0.087042876,0.16992572,0.008300144
46.649216,0.3198882,0.97503215,-0.72381765,0.12068459,0.1515912,0.12088047,0.10107609,0.2128817,-0.02390518
47.59162,0.1276884,-13.250048,0.65915555,0.13090926,0.16377848,0.12738094,0.10468748,0.22325855,-0.028125081
48.53403,0.46677145,0.9388902,0.41350603,0.13752533,0.16382504,0.13123442,0.11259083,0.24997592,-0.025955422
49.47644,0.52023435,0.33696407,2.456586,0.14241153,0.16301295,0.12855673,0.10285028,0.2452082,-0.030632999
50.41885,0.43824086,-0.41146734,1.1467528,0.14439921,0.17050093,0.1173532,0.08966846,0.23735517,-0.041503407
51.361256,1.6268988,0.03486045,0.37477732,0.14595485,0.17882422,0.1158132,0.089898646,0.2273442,-0.022216724
52.303665,-0.30749273,-0.18445113,0.56165814,0.13888612,0.1699484,0.104478754,0.104493774,0.23988658,-0.004938236
53.246075,0.23582543,0.3403955,0.19338864,0.12808484,0.15483406,0.09104169,0.11898087,0.24877924,0.00286906
54.18848,0.12657686,0.7087008,1.676198,0.11788872,0.14711086,0.08816552,0.11868951,0.22851454,0.025502047
55.13089,-4.201286,0.8185154,0.36544886,0.112543106,0.15095945,0.088170394,0.10954162,0.21725541,0.01664626
56.0733,0.8503829,4.3920894,1.2074294,0.11194101,0.16384974,0.08913162,0.10506447,0.2218012,0.002649607
57.015705,3.071374,0.65719926,5.243348,0.11743212,0.18030961,0.09862885,0.106370635,0.2451774,-0.03299627
57.958115,-0.28450984,0.03130063,1.0849676,0.11561636,0.18548469,0.08993508,0.104281545,0.25223148,-0.063333005
58.900524,-0.16100311,-0.015575479,0.53428054,0.11472338,0.17338979,0.08946803,0.08677913,0.23129886,-0.08527906
59.842934,0.003521906,2.2546003,0.59680176,0.11597946,0.15478982,0.09862188,0.0521714,0.16626015,-0.08950005
60.78534,3.2397573,0.13444883,1.1473392,0.12361542,0.1503814,0.103104115,0.039219506,0.13770474,-0.08921644
61.72775,-0.7638517,0.3450443,0.46891627,0.1258137,0.14339668,0.096185714,0.09634111,0.1921323,-0.051126126
62.67016,3.5805445,0.36654967,0.75155747,0.1252689,0.14424704,0.09623994,0.104269914,0.19674367,-0.042552873
63.612564,0.89143384,0.2112795,0.2230037,0.121682234,0.13785183,0.104866244,0.10002672,0.1834152,-0.05031327
64.55498,-1.4910755,0.27954805,0.79128814,0.12040191,0.11921154,0.11289162,0.10724149,0.17318365,-0.043928977
65.49738,0.8935909,0.56839615,14.494068,0.1231224,0.111465044,0.13089733,0.12780558,0.19034855,-0.013103427
66.43979,0.79126644,0.42498243,0.5053536,0.12386923,0.104223855,0.14577746,0.13806635,0.19201878,0.022088436
67.3822,0.6799142,0.39331585,1.1145684,0.12323393,0.101983555,0.15146476,0.17641218,0.2334592,0.045222342
68.32461,0.5551982,1.1363038,0.56245065,0.12110857,0.10398332,0.14977388,0.19982865,0.24722399,0.05797191
69.26701,0.81045073,0.2942312,-0.77758664,0.11559362,0.110576905,0.13055629,0.21309197,0.25979364,0.06076394
70.20943,0.937803,0.49388134,0.817003,0.11326844,0.12833339,0.10397998,0.22334671,0.27276924,0.06148304
71.15183,1.0001119,0.59626645,-7.9690967,0.111831985,0.14115983,0.07502076,0.21742001,0.268275,0.044349834
72.09424,0.4060262,0.6396156,0.024095641,0.10711882,0.14741337,0.0542424,0.22576965,0.27123678,0.05396347
73.03665,0.08540225,0.6387989,0.17361818,0.10450885,0.15522991,0.043223247,0.21764198,0.2593373,0.060271125
73.97906,1.384784,0.85338986,1.220426,0.109655336,0.16593835,0.04171049,0.18748678,0.22625034,0.043697555
74.92146,2.0493898,-0.042636555,0.08680371,0.11451321,0.16409346,0.048639223,0.17785086,0.20713428,0.047757056
75.86388,0.4027696,0.59528023,2.2813528,0.11695835,0.15945204,0.056444127,0.16655803,0.1931861,0.04139133
76.80628,0.7839987,0.50464505,1.0447321,0.115823254,0.16440123,0.04682609,0.1903078,0.19787008,0.08260652
77.74869,0.5931004,0.5425799,-0.6582639,0.109946616,0.15437616,0.03441647,0.2040121,0.18488532,0.12021467
78.6911,0.31716028,0.583425,0.49058735,0.103006326,0.13351485,0.032337092,0.20432347,0.16994894,0.14346126
79.63351,0.5383323,0.60917115,-0.19267279,0.09867505,0.11921211,0.036806602,0.21345915,0.17276902,0.16563137
80.57591,0.48802397,0.56992507,0.39645258,0.093561396,0.10636285,0.041149486,0.21002725,0.1656572,0.16258979
81.518326,0.48070586,0.73528665,0.38113934,0.09081933,0.097527266,0.039672706,0.18950126,0.15010017,0.12227544
